Nome,Sensor,orbita,data,ID
LE07_219074_20120227,LE07,219074,20120227,177
LE07_219074_20120314,LE07,219074,20120314,194
LE07_219074_20120415,LE07,219074,20120415,225
LE07_219074_20120517,LE07,219074,20120517,257
LE07_219074_20120618,LE07,219074,20120618,288
LE07_219074_20120704,LE07,219074,20120704,304
LE07_219074_20120805,LE07,219074,20120805,335
LE07_219074_20120821,LE07,219074,20120821,351
LE07_219074_20120906,LE07,219074,20120906,6
LE07_219074_20121008,LE07,219074,20121008,38
LE07_219074_20121227,LE07,219074,20121227,117
LE07_219074_20130213,LE07,219074,20130213,163
LE07_219074_20130418,LE07,219074,20130418,228
LC08_219074_20130426,LC08,219074,20130426,236
LE07_219074_20130504,LE07,219074,20130504,244
LC08_219074_20130512,LC08,219074,20130512,252
LE07_219074_20130520,LE07,219074,20130520,260
LC08_219074_20130715,LC08,219074,20130715,315
LC08_219074_20130731,LC08,219074,20130731,331
LE07_219074_20130808,LE07,219074,20130808,338
LE07_219074_20130824,LE07,219074,20130824,354
LC08_219074_20130901,LC08,219074,20130901,1
LE07_219074_20130909,LE07,219074,20130909,9
LE07_219074_20130925,LE07,219074,20130925,25
LC08_219074_20131003,LC08,219074,20131003,33
LE07_219074_20131011,LE07,219074,20131011,41
LC08_219074_20131019,LC08,219074,20131019,49
LC08_219074_20131104,LC08,219074,20131104,64
LC08_219074_20131120,LC08,219074,20131120,80
LC08_219074_20131206,LC08,219074,20131206,96
LE07_219074_20140115,LE07,219074,20140115,135
LC08_219074_20140123,LC08,219074,20140123,143
LE07_219074_20140131,LE07,219074,20140131,151
LC08_219074_20140208,LC08,219074,20140208,158
LC08_219074_20140224,LC08,219074,20140224,174
LC08_219074_20140312,LC08,219074,20140312,192
LE07_219074_20140320,LE07,219074,20140320,200
LC08_219074_20140328,LC08,219074,20140328,208
LE07_219074_20140405,LE07,219074,20140405,215
LC08_219074_20140413,LC08,219074,20140413,223
LE07_219074_20140507,LE07,219074,20140507,247
LC08_219074_20140515,LC08,219074,20140515,255
LE07_219074_20140608,LE07,219074,20140608,278
LC08_219074_20140616,LC08,219074,20140616,286
LC08_219074_20140702,LC08,219074,20140702,302
LC08_219074_20140803,LC08,219074,20140803,333
LE07_219074_20140811,LE07,219074,20140811,341
LC08_219074_20140819,LC08,219074,20140819,349
LE07_219074_20140827,LE07,219074,20140827,357
LC08_219074_20140904,LC08,219074,20140904,4
LE07_219074_20140912,LE07,219074,20140912,12
LC08_219074_20141006,LC08,219074,20141006,36
LE07_219074_20141014,LE07,219074,20141014,44
LC08_219074_20141022,LC08,219074,20141022,52
LC08_219074_20141107,LC08,219074,20141107,67
LE07_219074_20141217,LE07,219074,20141217,107
LC08_219074_20141225,LC08,219074,20141225,115
LE07_219074_20150102,LE07,219074,20150102,122
LC08_219074_20150110,LC08,219074,20150110,130
LE07_219074_20150118,LE07,219074,20150118,138
LC08_219074_20150126,LC08,219074,20150126,146
LE07_219074_20150203,LE07,219074,20150203,153
LC08_219074_20150227,LC08,219074,20150227,177
LC08_219074_20150416,LC08,219074,20150416,226
LC08_219074_20150518,LC08,219074,20150518,258
LE07_219074_20150526,LE07,219074,20150526,266
LC08_219074_20150619,LC08,219074,20150619,289
LE07_219074_20150627,LE07,219074,20150627,297
LE07_219074_20150713,LE07,219074,20150713,313
LC08_219074_20150721,LC08,219074,20150721,321
LE07_219074_20150729,LE07,219074,20150729,329
LC08_219074_20150806,LC08,219074,20150806,336
LE07_219074_20150814,LE07,219074,20150814,344
LC08_219074_20150822,LC08,219074,20150822,352
LE07_219074_20150830,LE07,219074,20150830,360
LC08_219074_20150907,LC08,219074,20150907,7
LE07_219074_20150915,LE07,219074,20150915,15
LC08_219074_20150923,LC08,219074,20150923,23
LC08_219074_20151009,LC08,219074,20151009,39
LE07_219074_20151017,LE07,219074,20151017,47
LC08_219074_20151025,LC08,219074,20151025,55
LC08_219074_20151110,LC08,219074,20151110,70
LE07_219074_20151118,LE07,219074,20151118,78
LE07_219074_20151204,LE07,219074,20151204,94
LE07_219074_20151220,LE07,219074,20151220,110
LC08_219074_20151228,LC08,219074,20151228,118
